               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,             0.01919,            0.012364,           0.0048634,             0.73953,             0.84888,             0.85815,             0.71047,            0.015604,           0.0099079,            0.012387,             0.00703,             0.00703,             0.00703
                  68,            0.019221,            0.012337,           0.0052557,             0.84977,             0.90533,             0.94844,             0.78241,            0.016638,            0.010178,           0.0074509,            0.006985,            0.006985,            0.006985
                  69,            0.019499,            0.012717,            0.005247,             0.86415,             0.87957,              0.9364,             0.77672,             0.01598,            0.010355,           0.0068178,             0.00694,             0.00694,             0.00694
                  70,            0.019377,            0.012651,           0.0047127,             0.87377,              0.8896,             0.93965,             0.77748,            0.016537,            0.010298,           0.0065032,            0.006895,            0.006895,            0.006895
                  71,             0.01897,            0.012295,           0.0050572,             0.86274,             0.86002,             0.92145,             0.77103,            0.015938,           0.0099522,           0.0080648,             0.00685,             0.00685,             0.00685
                  72,            0.019266,            0.012594,           0.0049142,             0.87178,               0.876,             0.92229,             0.75933,            0.015636,            0.010261,           0.0073206,            0.006805,            0.006805,            0.006805
                  73,            0.019067,            0.012345,           0.0047203,             0.80114,             0.87106,             0.89665,             0.74473,            0.015749,            0.010009,             0.00879,             0.00676,             0.00676,             0.00676
                  74,            0.019375,            0.012354,           0.0048429,             0.85566,             0.86795,             0.93142,             0.76698,            0.016954,            0.010418,           0.0073694,            0.006715,            0.006715,            0.006715
                  75,            0.019134,            0.012267,           0.0047795,             0.90629,             0.91355,             0.96184,             0.79168,            0.015904,            0.010189,           0.0059578,             0.00667,             0.00667,             0.00667
                  76,            0.018811,            0.012416,           0.0046012,               0.831,             0.89401,             0.93101,             0.77414,            0.015396,           0.0096913,           0.0071611,            0.006625,            0.006625,            0.006625
                  77,            0.018665,            0.012214,           0.0046905,             0.85165,             0.90739,             0.94845,             0.79293,            0.015929,           0.0098308,           0.0061565,             0.00658,             0.00658,             0.00658
                  78,            0.018825,            0.012075,           0.0046639,             0.88483,             0.91317,             0.96175,             0.78916,            0.016328,            0.010288,           0.0059336,            0.006535,            0.006535,            0.006535
                  79,            0.018447,            0.012271,           0.0044923,             0.87246,             0.90682,             0.95342,             0.78598,            0.016075,            0.010454,           0.0066016,             0.00649,             0.00649,             0.00649
                  80,             0.01869,             0.01212,           0.0045282,             0.91967,             0.89207,             0.95997,             0.79569,            0.016171,            0.010403,           0.0054955,            0.006445,            0.006445,            0.006445
                  81,            0.018542,            0.012252,           0.0042926,             0.89868,             0.88281,             0.94984,             0.78235,            0.016503,            0.010507,           0.0068066,              0.0064,              0.0064,              0.0064
                  82,            0.018721,            0.012369,            0.004417,             0.87479,             0.90243,             0.95131,             0.78288,            0.016079,            0.010295,           0.0057906,            0.006355,            0.006355,            0.006355
                  83,             0.01856,            0.012222,           0.0042329,             0.88281,             0.90897,             0.95812,             0.79553,            0.016188,            0.010336,           0.0054919,             0.00631,             0.00631,             0.00631
                  84,            0.018342,            0.012068,           0.0041808,             0.88453,             0.89894,             0.95806,              0.7869,            0.016047,            0.010354,           0.0059251,            0.006265,            0.006265,            0.006265
                  85,             0.01831,            0.012038,           0.0042393,             0.82279,             0.88579,             0.92709,             0.77088,            0.015701,            0.010341,           0.0068328,             0.00622,             0.00622,             0.00622
                  86,            0.018457,            0.012029,           0.0044549,             0.85179,              0.8886,             0.93336,             0.76906,            0.016003,            0.010416,           0.0071374,            0.006175,            0.006175,            0.006175
                  87,            0.018486,            0.012145,           0.0041726,             0.87778,              0.8973,             0.95715,             0.79646,            0.015391,           0.0098466,           0.0065895,             0.00613,             0.00613,             0.00613
                  88,             0.01843,            0.012135,           0.0041687,             0.85686,             0.88427,             0.92731,             0.76282,            0.016332,             0.01021,           0.0069396,            0.006085,            0.006085,            0.006085
                  89,            0.018276,            0.011973,           0.0038982,             0.85948,             0.91541,             0.94876,             0.78747,            0.015473,            0.010145,           0.0061937,             0.00604,             0.00604,             0.00604
                  90,            0.018211,            0.012169,           0.0037056,             0.87759,             0.91812,             0.96428,             0.79652,            0.015772,            0.010332,           0.0056385,            0.005995,            0.005995,            0.005995
                  91,              0.0181,            0.012053,           0.0038902,             0.92141,             0.91567,             0.97119,              0.8083,            0.015828,            0.010332,           0.0052628,             0.00595,             0.00595,             0.00595
                  92,            0.017757,            0.011919,           0.0036918,             0.92539,             0.91828,             0.97038,             0.80836,            0.015609,           0.0097567,           0.0051143,            0.005905,            0.005905,            0.005905
                  93,            0.018042,            0.011719,           0.0037051,             0.89573,              0.8999,             0.95418,             0.79011,             0.01619,            0.010422,           0.0057152,             0.00586,             0.00586,             0.00586
                  94,            0.017965,            0.012029,           0.0037781,             0.89074,             0.92713,             0.96576,             0.80184,            0.015825,            0.010189,            0.005139,            0.005815,            0.005815,            0.005815
                  95,             0.01796,            0.011842,           0.0035675,             0.90506,             0.90372,             0.96449,             0.79943,            0.016101,            0.010215,            0.005496,             0.00577,             0.00577,             0.00577
                  96,            0.018043,            0.012118,           0.0038565,             0.87394,             0.88396,             0.94681,              0.7853,            0.015787,           0.0098979,            0.006899,            0.005725,            0.005725,            0.005725
                  97,            0.017654,            0.011636,           0.0036034,             0.91133,              0.9237,             0.96757,             0.80926,            0.015601,           0.0099802,           0.0059052,             0.00568,             0.00568,             0.00568
                  98,            0.017699,            0.011544,           0.0038813,             0.89854,             0.90502,             0.95429,             0.79307,            0.015893,            0.010347,           0.0062775,            0.005635,            0.005635,            0.005635
                  99,            0.017873,             0.01221,           0.0033601,             0.91589,             0.90307,             0.96469,             0.79874,            0.015835,            0.010268,           0.0055681,             0.00559,             0.00559,             0.00559
                 100,            0.017653,            0.011886,            0.003732,             0.88041,             0.92166,             0.95607,             0.79541,            0.015841,            0.010124,           0.0054568,            0.005545,            0.005545,            0.005545
                 101,             0.01768,            0.011766,           0.0035661,             0.89232,             0.92571,             0.96136,             0.80355,             0.01582,            0.009976,            0.005997,              0.0055,              0.0055,              0.0055
                 102,            0.017852,            0.011555,           0.0036268,             0.89208,             0.91705,             0.95962,             0.80322,            0.015296,           0.0096893,           0.0059365,            0.005455,            0.005455,            0.005455
                 103,            0.017654,            0.011479,           0.0035154,             0.89952,             0.92803,             0.96436,             0.79589,            0.015388,            0.010073,           0.0051988,             0.00541,             0.00541,             0.00541
                 104,            0.017468,            0.011548,           0.0033064,             0.93859,             0.91614,             0.96891,             0.81314,            0.015411,            0.010232,           0.0050981,            0.005365,            0.005365,            0.005365
                 105,            0.017542,            0.011465,           0.0034463,             0.92637,             0.90831,              0.9679,             0.80733,            0.015773,            0.010305,           0.0050025,             0.00532,             0.00532,             0.00532
                 106,            0.017406,            0.011431,           0.0035662,             0.90027,             0.89589,             0.95313,             0.79735,            0.015291,            0.010005,           0.0059176,            0.005275,            0.005275,            0.005275
                 107,            0.017583,            0.011732,           0.0034244,             0.91538,             0.90563,             0.96201,             0.80711,            0.015274,            0.010106,           0.0050962,             0.00523,             0.00523,             0.00523
                 108,            0.017559,            0.011531,           0.0030757,             0.92628,             0.89823,             0.96425,             0.80257,            0.015398,            0.010034,           0.0048976,            0.005185,            0.005185,            0.005185
                 109,            0.017342,            0.011509,           0.0032563,             0.92364,             0.90332,             0.96397,             0.80457,            0.015668,            0.010174,           0.0049614,             0.00514,             0.00514,             0.00514
                 110,            0.017382,            0.011214,           0.0032352,             0.91496,             0.91829,             0.96222,             0.80482,            0.015189,            0.010259,            0.005664,            0.005095,            0.005095,            0.005095
                 111,            0.017158,             0.01152,           0.0030824,             0.93092,             0.91651,             0.96835,             0.80917,            0.015432,            0.010219,           0.0054873,             0.00505,             0.00505,             0.00505
                 112,            0.017206,             0.01147,           0.0035806,             0.92196,             0.91558,              0.9681,             0.81019,            0.015576,            0.010171,           0.0053801,            0.005005,            0.005005,            0.005005
                 113,            0.017223,            0.011451,            0.003377,             0.92841,             0.93223,             0.97517,             0.82199,            0.015071,            0.010148,           0.0049619,             0.00496,             0.00496,             0.00496
                 114,            0.017248,            0.011373,           0.0033504,             0.91306,             0.90808,             0.95825,             0.79996,            0.015607,            0.010087,           0.0059326,            0.004915,            0.004915,            0.004915
                 115,            0.017222,            0.011396,           0.0031262,             0.91521,             0.90138,             0.95798,             0.80335,            0.015757,            0.010162,           0.0062556,             0.00487,             0.00487,             0.00487
                 116,            0.017051,            0.011495,           0.0031964,             0.91184,             0.90041,             0.95952,             0.80434,            0.015622,            0.010403,           0.0067351,            0.004825,            0.004825,            0.004825
                 117,            0.016969,            0.011355,           0.0030285,               0.936,             0.93195,             0.97462,             0.81003,            0.015705,            0.010169,           0.0053288,             0.00478,             0.00478,             0.00478
                 118,            0.016619,            0.010952,             0.00284,             0.93363,             0.93133,               0.971,             0.81363,            0.015327,            0.010142,           0.0052232,            0.004735,            0.004735,            0.004735
                 119,            0.017014,            0.011356,           0.0028292,             0.93485,             0.91889,             0.96389,             0.79887,            0.015811,            0.010399,           0.0053274,             0.00469,             0.00469,             0.00469
                 120,              0.0169,            0.011154,           0.0032017,             0.92883,             0.90509,             0.95867,             0.80026,            0.016166,            0.010526,           0.0051011,            0.004645,            0.004645,            0.004645
                 121,            0.017302,             0.01131,           0.0034154,             0.91365,             0.90977,             0.95989,             0.80106,            0.015655,              0.0102,           0.0052481,              0.0046,              0.0046,              0.0046
                 122,            0.016568,            0.011126,             0.00285,             0.91718,             0.89533,             0.96261,             0.80496,            0.015453,            0.010173,           0.0052724,            0.004555,            0.004555,            0.004555
